STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,GEO_PICT,Pacific Island Countries and territories,ENV_TAXES,Environmental tax type,TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of measure,ERROR_TYPE,Error type,ERROR_VAL,Error value,REPORTING_TYPE,Reporting Type,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2016,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2017,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2018,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2019,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2020,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,ENRG,Energy,2021,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,1995,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,1996,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,1997,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,1998,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,1999,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2000,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2001,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2002,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2003,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2004,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2005,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2006,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2007,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2008,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2009,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2011,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2012,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2013,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2014,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2015,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2016,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,POLLN,Pollution,2017,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2011,,0.02,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2012,,0.02,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2013,,0.01,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2014,,0.01,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2015,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2016,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2017,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2018,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2019,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,RSRC,Resources,2020,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2011,,0.88,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2012,,1.4,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2013,,1.2,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2014,,1.4,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2015,,1.4,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2016,,1.4,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2017,,1.3,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2018,,1.3,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2019,,1.3,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,FJ,Fiji,TRANS,Transport,2020,,0.4,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,1995,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,1996,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,1997,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,1998,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,1999,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2000,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2001,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2002,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2003,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2004,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2005,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2006,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2007,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2008,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2009,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2011,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2012,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2013,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2014,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2015,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2016,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2017,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2018,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2019,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2020,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,ENRG,Energy,2021,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,1995,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,1996,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,1997,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,1998,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,1999,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2000,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2001,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2002,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2003,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2004,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2005,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2006,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2007,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2008,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2009,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2011,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2012,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2013,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2014,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2015,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2016,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2017,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2018,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2019,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2020,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,POLLN,Pollution,2021,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,1995,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,1996,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,1997,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,1998,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,1999,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2000,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2001,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2002,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2003,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2004,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2005,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2006,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2007,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2008,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2009,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2010,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2011,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2012,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2013,,0,,,,PERCENT,percent,,,,,N,National,,
DATAFLOW,SPC:DF_ENV_TAXES(1.0),Environmental Taxes,I,A,Annual,PG,Papua New Guinea,RSRC,Resources,2014,,0,,,,PERCENT,percent,,,,,N,National,,
